created_at	text	in_reply_to_screen_name	retweet_count	favorite_count	source	id_str
Wed Jan 20 18:21:27 +0000 2021	1/20/2021 Oklahoma COVID-19 Status update:As of today, 9.11% of all Oklahomans have been diagnosed with COVID-19 s… 		1	3	Twitter for Mac	1351958031131672586
Wed Jan 20 09:44:56 +0000 2021	@Hexpatriot @_Cykocurt_ The speed of significant variants emerging has reached escape velocity from my mental abili… 	Hexpatriot	0	1	Twitter for iPhone	1351828046551007232
Wed Jan 20 21:23:40 +0000 2021	WEEKLY COVID-19 UPDATE.White County School System will continue to work to ensure the safety of our students and s… 		2	0	Twitter for iPhone	1352003887767691266
Wed Jan 20 21:45:13 +0000 2021	World Health Organization Talk Of The Town 		0	0	Twitter for iPhone	1352009309048111105
Wed Jan 20 22:04:19 +0000 2021	That’s a low figure, given the holidays just happened. I think the NBA can shoulder this. 		0	0	Twitter for iPhone	1352014117695963137
Wed Jan 20 13:56:38 +0000 2021	Somehow, I missed this back in October!Do we need a COVID-19 video game? How about 51 games? I think we might! 		0	3	Twitter for Android	1351891387042639874
Wed Jan 20 14:30:45 +0000 2021	Getting to work on day one. Let’s get it! 		0	5	Twitter for iPhone	1351899972200001541
Wed Jan 20 20:55:35 +0000 2021	Things that Republicans will suddenly discover today. 1. Coronavirus 2. Deficits		9	35	Twitter for iPhone	1351996819975200769
Wed Jan 20 12:52:38 +0000 2021	I've heard baseless claims from people, including health professionals, declining the #CovidVaccine due to infertil… 		1	2	Twitter for Android	1351875282005852162
Wed Jan 20 06:13:08 +0000 2021	@Paolacruz1324 @DrEricDing Doesn’t matter who. Singapore ignored migrants and COVID-19 exploded after a short time.… 	Paolacruz1324	0	0	Twitter for iPad	1351774744694190080
Wed Jan 20 21:13:53 +0000 2021	Calling all @chicago businesses: please complete the @ChicagolandCmbr Transit Survey  		0	0	Twitter for iPhone	1352001423697960962
Thu Jan 21 03:59:57 +0000 2021	4400 reported deaths today due to the Coronavirus. And they’re all just punchlines to right wing twitter. Every one… 		2	31	Twitter for iPhone	1352103613972291592
Wed Jan 20 14:02:43 +0000 2021	@BeschlossDC Not unlike #coronavirus	BeschlossDC	0	0	Twitter for Android	1351892917997228035
Wed Jan 20 06:03:05 +0000 2021	Blacks are getting.vaccinated at much lower rates than other races though they are more negatively impacted.… 		0	0	Twitter for iPhone	1351772214589333504
Wed Jan 20 21:26:47 +0000 2021	Celebrating Inauguration Day with 1 COVID-19 vaccine for Papa and 1 COVID-19 vaccine for nana! @stephenathome… 		0	0	Instagram	1352004673474080770
Wed Jan 20 16:49:47 +0000 2021	This isnt fooling anyone 		0	0	Twitter for iPhone	1351934962044448774
Wed Jan 20 13:20:00 +0000 2021	Sobering moment. My favorite @YolandaAdams was singing too. 		0	0	Twitter for iPhone	1351882168964931585
Wed Jan 20 14:11:03 +0000 2021	Republicans have gotten so dumb under Trump...sorry I ever was one.. 		0	0	Twitter for Android	1351895016625606659
Thu Jan 21 04:16:56 +0000 2021	American treasure Tom Hanks really survived covid-19 to host tonight’s inaugural zoom party. And it brings me so… 		1	10	Twitter for iPhone	1352107889377202176
Wed Jan 20 23:29:14 +0000 2021	We’re screwed. 		0	2	Twitter for iPhone	1352035488954257408
Thu Jan 21 00:24:36 +0000 2021	COVID19 deaths in US 4,400 Wednesday, January 20, 2021 		0	0	Twitter for iPhone	1352049422796992513
Wed Jan 20 17:59:17 +0000 2021	God Bless America!      		0	2	Twitter for iPhone	1351952452027875330
Thu Jan 21 04:39:40 +0000 2021	 When taking down my Christmas tree, I discovered an ornament (I’ve had for several years that favors the Coronav… 		0	0	Twitter for iPhone	1352113609405558786
Wed Jan 20 09:28:59 +0000 2021	1. No wall and Mexicans didn’t pay for anything. 2. The next week health plan never arrived. 3. The Chinese keep pr… 		0	0	Twitter for iPhone	1351824031461199874
Thu Jan 21 02:56:20 +0000 2021	Hawaii’s Virginia. Patty Sakal’s professional organization called her “Hawaii interpreter royalty.” Patty unde… 		3	8	Twitter for iPhone	1352087604565594116
Thu Jan 21 03:11:12 +0000 2021	Our Wellness Coaches have lost no one to COVID19 in 2O20.  		0	0	Twitter for Android	1352091347021398021
Wed Jan 20 16:06:03 +0000 2021	Twitpic or you lying 		0	1	Twitter for iPhone	1351923957650354191
Wed Jan 20 15:24:17 +0000 2021	today will be a great day in America and days moving forward! I am putting it out there!  #JoeBidenKamalaHarris 		0	2	Twitter for iPhone	1351913445810085891
Wed Jan 20 23:40:16 +0000 2021	Texas needs to step it up 		0	0	Twitter for Android	1352038262693634051
Wed Jan 20 10:51:57 +0000 2021	@FOX26Houston @isiahcareyFOX26 make sure he leaves a bag  behind for Dr. Letitia Plummer Council Woman At Large fo… 	FOX26Houston	0	0	Twitter for Android	1351844909058297856
Wed Jan 20 17:59:14 +0000 2021	 best one yet!! 		0	1	Twitter for iPhone	1351952439356911619
Wed Jan 20 17:23:09 +0000 2021	@GSBradley1 @DailyMailUK The 7 day rolling is particularly misleading in Sweden, which is noted for having a signif… 	JJSchaible	0	0	Twitter for Android	1351943358873145344
Thu Jan 21 03:19:36 +0000 2021	To honor 400,000 innocent Americans who lost their lives related to the pandemic. A catastrophic disaster handling… 		0	0	Twitter for Android	1352093459365195783
